t, n, k, alg, weight, ms
1.5,20,10,greedy,26222.273528087033,27.435528
1.5,40,10,greedy,39374.13378894315,75.694954
1.5,60,10,greedy,80564.00329449546,180.133309
1.5,80,10,greedy,140851.43803930614,349.147912
1.5,100,10,greedy,149269.6641599616,682.247714
1.5,120,10,greedy,206404.79478196552,1014.364018
1.5,140,10,greedy,247577.12373696087,1814.799565
1.5,160,10,greedy,316730.83422950347,2360.077374
1.5,180,10,greedy,333584.8456251556,4406.945047
1.5,200,10,greedy,449757.95427485363,4976.818901
1.5,220,10,greedy,399647.00259566517,6712.588639
1.5,240,10,greedy,566541.8497590157,7951.67753
1.5,260,10,greedy,666175.4519713167,10303.342149
1.5,280,10,greedy,522321.27888780023,12110.643414
1.5,300,10,greedy,655836.5692966249,14427.429408
1.5,320,10,greedy,816398.4200165608,21580.322062
1.5,340,10,greedy,986545.5413995697,23752.323742
1.5,360,10,greedy,846286.445073506,27348.885987
1.5,380,10,greedy,1178180.0746192068,34156.126231
1.5,400,10,greedy,1154391.6954925384,41535.346653
