t, n, k, alg, weight, ms
1.5,0,10,wspd,5843.523932336806,0.721348
1.5,20,10,wspd,219567.26896130724,20.764129
1.5,40,10,wspd,1328761.3757203305,92.460561
1.5,60,10,wspd,2506552.9846187686,254.0643
1.5,80,10,wspd,5958044.38175754,775.290591
1.5,100,10,wspd,12181261.137655448,2395.867005
1.5,120,10,wspd,16167384.107568635,4209.873445
1.5,140,10,wspd,23979640.492489293,6602.714102
1.5,160,10,wspd,26286430.920785014,8494.614694
1.5,180,10,wspd,36445988.918318726,14398.605671
1.5,200,10,wspd,47733519.10526126,23628.859414
1.5,220,10,wspd,71841610.42322585,47338.461869
1.5,240,10,wspd,72192258.41082294,52512.939059
1.5,260,10,wspd,70071589.9530286,55600.919842
1.5,280,10,wspd,68120038.94427867,61412.409136
1.5,300,10,wspd,93534754.63212463,104873.963793
1.5,320,10,wspd,82473396.67843008,93961.355467
1.5,340,10,wspd,102355380.30199869,128614.777654
1.5,360,10,wspd,99339574.92896876,131797.408568
1.5,380,10,wspd,160708490.34665814,272854.397346
1.5,400,10,wspd,149900128.54077956,238915.351089
1.5,420,10,wspd,137002828.85856438,255095.967611
1.5,440,10,wspd,164271979.157006,367743.701049
1.5,460,10,wspd,193552392.9788754,471679.430518
