t, n, k, alg, weight, ms
1.5,20,10,wspd,284811.27150224755,30.950666
1.5,40,10,wspd,910891.9625766173,80.697673
1.5,60,10,wspd,2033651.9737625087,168.478245
1.5,80,10,wspd,4139555.902534514,420.643521
1.5,100,10,wspd,5245830.026635282,722.378617
1.5,120,10,wspd,9071830.568349445,940.531212
1.5,140,10,wspd,9829381.299961071,1303.59361
1.5,160,10,wspd,12739949.400201531,2333.955518
1.5,180,10,wspd,18560927.897911347,2695.9349
1.5,200,10,wspd,21872632.844043344,3897.295463
1.5,220,10,wspd,25358949.141957186,6292.78208
1.5,240,10,wspd,28837843.11805514,8445.680693
1.5,260,10,wspd,29375128.458980747,9771.645931
1.5,280,10,wspd,49200621.5057796,19879.874656
1.5,300,10,wspd,37209177.25977791,10222.481664
1.5,320,10,wspd,54410479.945157155,15755.12571
1.5,340,10,wspd,51365730.48641088,19360.156471
1.5,360,10,wspd,65922886.15571535,23697.639079
1.5,380,10,wspd,58122419.47378035,17712.560408
1.5,400,10,wspd,77553618.33611819,35011.432619
1.5,420,10,wspd,67892610.71810997,22580.511166
1.5,440,10,wspd,87182499.19516997,39676.854603
1.5,460,10,wspd,102268051.37714814,71994.64075
