t, n, k, alg, weight, ms
1.5,0,10,greedy,4662.811466850613,0.439176
1.5,0,10,wspd,4662.811466850613,0.564278
1.5,20,10,greedy,24271.62123312939,26.851003
1.5,20,10,wspd,224878.43449492115,20.098182
1.5,40,10,greedy,30644.078620629385,92.021591
1.5,40,10,wspd,1257487.1129902883,103.318467
1.5,60,10,greedy,89916.90200929524,254.759258
1.5,60,10,wspd,3025143.262812119,352.921983
1.5,80,10,greedy,142942.97114995742,897.2953
1.5,80,10,wspd,7575187.996065185,1110.554709
1.5,100,10,greedy,200225.73851949154,2118.548089
1.5,100,10,wspd,15041546.066104215,3341.515751
1.5,120,10,greedy,229930.68485311072,4331.710205
1.5,120,10,wspd,19729274.347693168,5152.116097
1.5,140,10,greedy,287678.7077996993,6297.400092
1.5,140,10,wspd,24559438.84849956,7623.62113
1.5,160,10,greedy,380191.02208595426,9209.65334
1.5,160,10,wspd,32409645.523058783,12788.893624
1.5,180,10,greedy,421422.60419286165,22139.617336
1.5,180,10,wspd,49430628.301932566,25859.597172
1.5,200,10,greedy,567639.9318115601,28950.715758
1.5,200,10,wspd,58776319.75894014,31840.620445
1.5,220,10,greedy,583254.8495313899,50920.65266
1.5,220,10,wspd,71703467.79698308,49483.972901
1.5,240,10,greedy,671507.2360596025,69846.019754
1.5,240,10,wspd,82830458.87005928,72079.617491
1.5,260,10,greedy,793744.916136432,79427.047985
1.5,260,10,wspd,77147470.10202235,67501.618055
1.5,280,10,greedy,750485.8804943655,136336.08449
1.5,280,10,wspd,123372220.87231743,120590.487997
1.5,300,10,greedy,840252.098824265,167485.231601
