t, n, k, alg, weight, ms
1.5,399,4,greedy,1173576.3758056043,47531.582586
1.5,399,4,wspd,28249644.226006173,36903.051254
1.5,300,98,greedy,140222.37054041776,15883.006127
1.5,300,98,wspd,16151066.518408602,11757.585303
2,9,44,greedy,30478.795197434927,4.500537
2,9,44,wspd,212444.49218806962,4.157682
1.5,20,4,greedy,762.4955319120858,7.836695
1.5,20,4,wspd,12843.557299778588,8.850942
1.25,910,164,greedy,519801.7316136564,270343.808263
1.25,910,164,wspd,16250031.007431034,162029.228277
2.5,18,450,greedy,1022881.7592196183,102.972514
2.5,18,450,wspd,8404519.611100579,104.521855
